riskset_type,heldout,model,term,estimate
two_wave,CHARLS,M1,(Intercept),-8.42666663238445
two_wave,CHARLS,M1,age10,0.634420374195984
two_wave,CHARLS,M1,chronic5_t,0.1663607516315
two_wave,CHARLS,M1,depression_prop_t,0.733114985192879
two_wave,CHARLS,M1,education3,-0.109926468706874
two_wave,CHARLS,M1,female,0.0138123243444499
two_wave,CHARLS,M1,miss_chronic5_t,-0.716273492158928
two_wave,CHARLS,M1,miss_depression_prop_t,0.378071815209277
two_wave,CHARLS,M1,miss_education3,0.140860441925466
two_wave,CHARLS,M1,miss_mobility3_t,0.630010017554696
two_wave,CHARLS,M1,miss_partnered_t,-0.330117082420092
two_wave,CHARLS,M1,miss_smoking_t,-0.2538094939916
two_wave,CHARLS,M1,miss_srh_t,0.0287839555418071
two_wave,CHARLS,M1,mobility3_t,0.363911253129426
two_wave,CHARLS,M1,partnered_t,-0.0923038695725428
two_wave,CHARLS,M1,prediction_horizon_years,0.121899711672898
two_wave,CHARLS,M1,smoking_t,0.208673979691795
two_wave,CHARLS,M1,srh_t,0.342994684396541
two_wave,ELSA,M1,(Intercept),-8.35823465571883
two_wave,ELSA,M1,age10,0.556792346811111
two_wave,ELSA,M1,chronic5_t,0.132169807033311
two_wave,ELSA,M1,depression_prop_t,0.598474384445317
two_wave,ELSA,M1,education3,-0.246494557071211
two_wave,ELSA,M1,female,0.27023742788499
two_wave,ELSA,M1,miss_chronic5_t,0.266631321562132
two_wave,ELSA,M1,miss_depression_prop_t,0.388433438073575
two_wave,ELSA,M1,miss_education3,-0.330741132578369
two_wave,ELSA,M1,miss_mobility3_t,0.466218481289444
two_wave,ELSA,M1,miss_partnered_t,0.0790934997877272
two_wave,ELSA,M1,miss_smoking_t,-0.193493378614931
two_wave,ELSA,M1,miss_srh_t,0.776711774629107
two_wave,ELSA,M1,mobility3_t,0.312966464353062
two_wave,ELSA,M1,partnered_t,0.0701302437817919
two_wave,ELSA,M1,prediction_horizon_years,0.435848084138524
two_wave,ELSA,M1,smoking_t,0.261971835803891
two_wave,ELSA,M1,srh_t,0.307408887709937
two_wave,HRS,M1,(Intercept),-7.92154483359877
two_wave,HRS,M1,age10,0.569671579008631
two_wave,HRS,M1,chronic5_t,0.146596323741804
two_wave,HRS,M1,depression_prop_t,0.587561978241637
two_wave,HRS,M1,education3,-0.224733146993664
two_wave,HRS,M1,female,0.230994040820503
two_wave,HRS,M1,miss_chronic5_t,0.286906681560669
two_wave,HRS,M1,miss_depression_prop_t,0.466845922727698
two_wave,HRS,M1,miss_education3,-0.0384101283436706
two_wave,HRS,M1,miss_mobility3_t,0.201341106728658
two_wave,HRS,M1,miss_partnered_t,-9.54716076495256
two_wave,HRS,M1,miss_smoking_t,-0.136801100295624
two_wave,HRS,M1,miss_srh_t,0.317640536675427
two_wave,HRS,M1,mobility3_t,0.324984843127122
two_wave,HRS,M1,partnered_t,0.0721028629278232
two_wave,HRS,M1,prediction_horizon_years,0.2577642203513
two_wave,HRS,M1,smoking_t,0.248379184556239
two_wave,HRS,M1,srh_t,0.305874662251832
two_wave,MHAS,M1,(Intercept),-8.70750250714549
two_wave,MHAS,M1,age10,0.547745601473892
two_wave,MHAS,M1,chronic5_t,0.126930766078117
two_wave,MHAS,M1,depression_prop_t,0.99473624461702
two_wave,MHAS,M1,education3,-0.268503653650288
two_wave,MHAS,M1,female,0.118136434968038
two_wave,MHAS,M1,miss_chronic5_t,0.0297300541764925
two_wave,MHAS,M1,miss_depression_prop_t,0.427596585314629
two_wave,MHAS,M1,miss_education3,0.090395874123639
two_wave,MHAS,M1,miss_mobility3_t,0.683072382960685
two_wave,MHAS,M1,miss_partnered_t,-0.287406423000311
two_wave,MHAS,M1,miss_smoking_t,-0.0959074931551372
two_wave,MHAS,M1,miss_srh_t,0.412520873857999
two_wave,MHAS,M1,mobility3_t,0.449358786436088
two_wave,MHAS,M1,partnered_t,-0.0477580400920642
two_wave,MHAS,M1,prediction_horizon_years,0.731784474571038
two_wave,MHAS,M1,smoking_t,0.068806875324776
two_wave,MHAS,M1,srh_t,0.285310317749544
